Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,107.440002,108.559998,106.739998,108.330002,74.193832,9761900
2006-01-04,108.430000,108.860001,108.269997,108.739998,74.474602,5844500
2006-01-05,108.510002,109.019997,108.360001,108.879997,74.570473,4843600
2006-01-06,109.330002,109.699997,108.760002,109.519997,75.008812,9017800
2006-01-09,109.500000,110.209999,109.470001,109.980003,75.323868,10420700
2006-01-10,109.559998,110.139999,109.470001,110.080002,75.392365,6390700
2006-01-11,110.110001,110.459999,109.879997,110.430000,75.632057,4388600
2006-01-12,110.220001,110.230003,109.510002,109.769997,75.180046,6331700
2006-01-13,109.629997,109.930000,109.190002,109.540001,75.022514,3712200
2006-01-17,109.150002,109.269997,108.739998,109.010002,74.659515,3914400
2006-01-18,108.400002,108.900002,108.209999,108.599998,74.378708,4962200
2006-01-19,108.730003,109.180000,108.540001,108.730003,74.467766,4596400
2006-01-20,108.459999,108.500000,106.449997,106.470001,73.000435,16440200
2006-01-23,106.639999,107.279999,106.559998,106.860001,73.267860,7596300
2006-01-24,106.949997,107.410004,106.779999,106.940002,73.322716,7147800
2006-01-25,107.279999,107.519997,106.599998,107.150002,73.466721,9525900
2006-01-26,107.629997,108.199997,107.449997,108.010002,74.056328,8234300
2006-01-27,108.220001,109.269997,107.970001,109.110001,74.810516,7922800
2006-01-30,109.089996,109.199997,108.760002,108.910004,74.673454,4822900
2006-01-31,108.790001,109.190002,108.239998,108.269997,74.234619,5224700
2006-02-01,108.500000,109.620003,108.500000,109.570000,75.125931,7068500
2006-02-02,109.300003,109.389999,108.190002,108.300003,74.255165,7334800
2006-02-03,108.099998,108.620003,107.739998,107.790001,73.905563,5108600
2006-02-06,107.949997,108.129997,107.669998,108.019997,74.063194,3454100
2006-02-07,107.830002,108.209999,107.320000,107.480003,73.692947,11363000
2006-02-08,107.720001,108.709999,107.680000,108.589996,74.454063,5261200
2006-02-09,108.809998,109.559998,108.669998,108.839996,74.625465,7852600
2006-02-10,108.839996,109.510002,108.220001,109.129997,74.824310,7640600
2006-02-13,109.059998,109.489998,108.559998,109.050003,74.769432,10955500
2006-02-14,109.290001,110.550003,109.120003,110.400002,75.695023,13191000
2006-02-15,110.300003,110.830002,109.989998,110.699997,75.900787,9483800
2006-02-16,110.820000,111.290001,110.580002,111.269997,76.291542,5659100
2006-02-17,111.029999,111.230003,110.680000,111.019997,76.259926,3941800
2006-02-21,111.199997,111.320000,110.400002,110.570000,75.950859,9063600
2006-02-22,110.790001,111.519997,110.730003,111.099998,76.314957,5032100
2006-02-23,111.099998,111.339996,110.480003,110.739998,76.067642,9454300
2006-02-24,110.570000,110.860001,110.089996,110.760002,76.081383,5469600
2006-02-27,110.779999,111.330002,110.750000,110.849998,76.143204,2547500
2006-02-28,110.599998,110.760002,109.779999,109.900002,75.490585,6669100
2006-03-01,110.239998,110.739998,110.089996,110.459999,75.875267,4725400
2006-03-02,110.160004,110.500000,109.820000,110.379997,75.820343,5008800
2006-03-03,109.870003,111.050003,109.809998,110.070000,75.607384,6315000
2006-03-06,110.139999,110.370003,109.279999,109.629997,75.305161,5497300
2006-03-07,109.360001,109.910004,109.300003,109.849998,75.456276,6271500
2006-03-08,109.699997,110.330002,109.269997,110.099998,75.627998,6353000
2006-03-09,110.180000,110.550003,109.680000,109.709999,75.360123,6042400
2006-03-10,109.989998,111.040001,109.870003,110.849998,76.143204,8351400
